id;parent;weight;exercise;type;featured;otherPs;predPs;followPs;similarPs;alternativePs;evaluation;grade;class;topic;examples;url;specs;visible;ordering
100;20;1;12;combined;0;1,14;;;;;medalBased;1;10;;;tymovka-promenne-a-vyrazy-mix-1-uroven;;1;0
101;17;1;12;combined;0;31,2,3,16;;;;;medalBased;1;10;;;tymovka-rizeni-vypocut-mix-1-uroven;;1;0
102;32;1;12;combined;0;17,13,32;;;;;medalBased;1;10;;;tymovka-datove-struktury-mix-1-uroven;;1;0
105;17;1;46;basic;0;;;107;6,7,9,10,11,12,18,19,20,21,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,106,107,111,112,115,116,117,119;;medalBased;1;10;Výpočty s čísly;;porozumeni-python-cisla;;1;0
106;14;1;46;basic;0;;;107;6,7,9,10,11,12,18,19,20,21,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,107,111,112,115,116,117,119;;medalBased;1;10;;;porozumeni-python-retezce;;1;0
107;15;1;46;basic;0;;105;;6,7,9,10,11,12,18,19,20,21,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,111,112,115,116,117,119;;medalBased;1;10;;;porozumeni-python-seznamy;;1;10
108;25;1;38;basic;0;;44;69;5,6,47,49,53,59,69,76,77,117;;medalBased;1;8;Vzory s opakováním;;zelvi-grafika-vzory;<xml id="toolbox" style="display: none">     <category name="Pohyb">      <block type="draw_move">          <value name="VALUE">            <block type="math_number">              <title name="NUM">100</title>            </block>          </value>        </block>        <block type="draw_turn">          <value name="VALUE">            <block type="math_number">              <title name="NUM">90</title>            </block>          </value>        </block>     </category>    <category name="Pero">        <block type="draw_pen"></block>        <block type="draw_width">          <value name="WIDTH">            <block type="math_number">              <title name="NUM">2</title>            </block>          </value>        </block>        <block type="draw_colour"><value name="COLOUR"><block type="colour_picker"></block></value></block></category>    <category name="Opakování">  <block type="controls_repeat_ext">        <value name="TIMES">          <block type="math_number">            <field name="NUM">4</field>          </block>        </value>      </block> </category></xml>;1;4
111;39;1;52;basic;0;;119;;6,7,9,10,11,12,18,19,20,21,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,112,115,116,117,119;;medalBased;1;10;Těžké;;regularni-vyrazy-tezke;;1;8
112;35;1;52;basic;0;;;115;6,7,9,10,11,12,18,19,20,21,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,115,116,117,119;;medalBased;1;10;;;regularni-vyrazy-trenink;;1;1
113;34;1;54;basic;0;;;;;;medalBased;1;0;Experimentárium;;roboarena-test;<xml id="toolbox" style="display: none">    <category name="Pohyb">    <block type="draw_move_forward_1"></block>    <block type="draw_turn_right_90"></block>    <block type="draw_turn_left_90"></block>    </category>  <category name="Podmínky">           <block type="draw_move_forward_if"></block>     <block type="draw_turn_right_90_if"></block>     <block type="draw_turn_left_90_if"></block>      <block type="condition_color"></block>            <block type="condition_front"></block>  </category>    <category name="Opakování">       <block type="controls_repeat_ext">        <value name="TIMES">          <block type="math_number">            <field name="NUM">2</field>          </block>        </value>      </block>     </category>    <category name="Akce">        <block type="shoot"></block>        <block type="shield"></block>        <block type="build_wall"></block>        <block type="color_square"></block>        <block type="use_teleport"></block>    </category></xml>;1;0
114;34;1;54;basic;0;;;;;;medalBased;1;0;Různé mapy;;roboarena-mapy;<xml id="toolbox" style="display: none">    <category name="Pohyb">    <block type="draw_move_forward_1"></block>    <block type="draw_turn_right_90"></block>    <block type="draw_turn_left_90"></block>    </category>  <category name="Podmínky">           <block type="draw_move_forward_if"></block>     <block type="draw_turn_right_90_if"></block>     <block type="draw_turn_left_90_if"></block>      <block type="condition_color"></block>            <block type="condition_front"></block>  </category>    <category name="Opakování">       <block type="controls_repeat_ext">        <value name="TIMES">          <block type="math_number">            <field name="NUM">2</field>          </block>        </value>      </block>     </category>    <category name="Akce">        <block type="shoot"></block>        <block type="shield"></block>        <block type="build_wall"></block>        <block type="color_square"></block>        <block type="use_teleport"></block>    </category></xml>;1;0
115;36;1;52;basic;0;;112;116;6,7,9,10,11,12,18,19,20,21,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,116,117,119;;medalBased;1;10;;;regexp-skupiny-znaku;;1;2
116;37;1;52;basic;0;;115;117;6,7,9,10,11,12,18,19,20,21,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,117,119;;medalBased;1;10;;;regexp-kvantifikatory;;1;3
117;38;1;52;basic;0;;116;119;6,7,9,10,11,12,18,19,20,21,23,29,30,33,49,50,51,52,53,59,60,61,63,67,72,73,74,76,77,78,79,80,105,106,107,108,111,112,115,116,119;;medalBased;1;9;;;regexp-hranice;;1;4
119;40;1;52;basic;0;;117;111;6,7,9,10,11,12,18,19,20,21,23,29,30,33,49,50,51,52,59,60,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117;;medalBased;1;10;;;regexp-nahrazovani;;1;5
120;26;1;39;basic;0;;62;56;;;medalBased;1;0;Teleport;;sipkovana-teleport;;1;8
